简历编号,姓名,性别,年龄,电话,邮箱,意向岗位,学历层次,院校类别,专业类别,英语水平,编程语言,编程语言熟练度,前端技术,前端技术熟练度,后端技术,后端技术熟练度,数据库,数据库熟练度,云计算/运维,云计算/运维熟练度,数据与算法,数据与算法熟练度,移动开发,移动开发熟练度,测试工具,测试工具熟练度,小型企业工作经验,中型企业工作经验,大型企业工作经验,小规模项目,中规模项目,大规模项目,筛选结果
1869,杜涛,男,35,18576921725,taofang750@qq.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,精通,掌握,精通",NULL,NULL,"Spring Boot,Django/Flask","熟练,熟练",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,5年以上,NULL,3,4,0,通过
1870,朱杨,男,27,18139037897,junduan8@hotmail.com,移动开发工程师,专科,普通高校,计算机类,无,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","熟练,精通",NULL,NULL,5年以上,NULL,NULL,15,1,0,通过
1871,卓楠,男,28,15349750071,gangtao@qq.com,算法工程师,本科,普通高校,非计算机类,无,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark","掌握,精通",NULL,NULL,NULL,NULL,5年以上,NULL,5年以上,11,3,2,通过
1872,刘洋,男,28,18093576943,weimo5618@gmail.com,数据分析师,本科,211高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","掌握,掌握,熟练,精通,了解",NULL,NULL,NULL,NULL,"MySQL,MongoDB","精通,掌握",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,精通",NULL,NULL,NULL,NULL,NULL,3―5年,NULL,1,2,0,通过
1873,刘雷,男,22,15659839782,guiyingxie0864@outlook.com,后端开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,Go","熟练,熟练,精通,熟练",NULL,NULL,"Spring Boot,Django/Flask,Kafka/RabbitMQ","掌握,熟练,了解","MySQL,MongoDB","精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,5,0,0,通过
1874,戴超,男,22,18708654453,juanxu@163.com,后端开发工程师,本科,普通高校,计算机类,英语六级,Python,熟练,NULL,NULL,"Spring Boot,Django/Flask,Kafka/RabbitMQ","精通,掌握,熟练","MySQL,PostgreSQL","熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1875,韩琴,女,35,18452160505,yanyang16@yahoo.com,运维工程师,专科,普通高校,计算机类,无,Python,掌握,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible","掌握,熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,NULL,0,2,1,不通过
1876,宋文,男,22,13323679485,taoxia@yahoo.com,数据分析师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","掌握,熟练,了解,掌握,精通",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","熟练,熟练,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,了解,掌握,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,15,0,0,不通过
1877,李彬,男,22,18014831031,liyi9@hotmail.com,运维工程师,专科,普通高校,非计算机类,英语四级,Python,掌握,NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Terraform","熟练,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,3,0,0,不通过
1878,苗阳,男,31,15601140930,chaofan0@126.com,前端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,熟练,精通,掌握","HTML/CSS,React/Vue,Redux/Vuex","熟练,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,5年以上,NULL,4,0,0,通过
1879,傅梅,女,23,13185610789,qiangjin31@outlook.com,测试工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL","了解,掌握,了解,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","掌握,掌握",1―3年,1年以下,NULL,1,7,0,不通过
1880,黄小红,女,23,18677492231,xiuyingshen9@hotmail.com,前端开发工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript,SQL,Go","熟练,熟练,掌握,精通","HTML/CSS,React/Vue","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,0,0,通过
1881,郭桂,女,21,13738630065,taowei@hotmail.com,测试工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","掌握,掌握,掌握,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","掌握,精通,熟练",NULL,NULL,NULL,0,0,0,不通过
1882,周博,男,22,18963976328,naxie523@yahoo.com,测试工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","了解,熟练,熟练,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","掌握,熟练",1―3年,NULL,NULL,6,0,0,不通过
1883,刘涛,男,22,15892871566,mingwang1@yahoo.com,测试工程师,专科,普通高校,非计算机类,无,"Python,JavaScript,SQL","精通,了解,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","精通,熟练",1―3年,NULL,NULL,4,0,0,通过
1884,陈利,男,22,15391693575,liyan602@163.com,移动开发工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,精通,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","精通,掌握",NULL,NULL,NULL,NULL,NULL,0,0,0,通过
1885,汤秀,女,22,17724985033,pingsun144@126.com,测试工程师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript","掌握,精通,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","熟练,熟练,精通,熟练",NULL,NULL,NULL,0,0,0,通过
1886,邵凯,男,22,18011404835,lizhou382@126.com,数据工程师,专科,普通高校,非计算机类,无,"Python,Java,JavaScript,SQL,Go","掌握,熟练,熟练,掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","熟练,熟练,掌握",NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1887,关淑珍,女,22,13933736660,lizhou89@yahoo.com,数据工程师,本科,普通高校,非计算机类,英语六级,"Python,JavaScript,SQL,Go","熟练,熟练,精通,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,了解,熟练,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,掌握,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1888,蒋晨,男,40,15673448049,liwan7729@163.com,云计算工程师,本科,普通高校,计算机类,英语四级,"Python,Java,Go","熟练,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","熟练,精通,了解,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,3―5年,1,0,0,不通过
1889,赵芳,女,22,17824993704,mindu6@outlook.com,数据分析师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","了解,熟练,熟练,精通",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","掌握,精通,熟练,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,了解,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,0,0,不通过
1890,张雪,女,23,18040165490,xiulanzou2391@qq.com,后端开发工程师,本科,普通高校,非计算机类,无,"Python,SQL","熟练,了解",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","掌握,掌握,了解,精通,了解","MySQL,PostgreSQL,MongoDB,Redis","熟练,掌握,掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,6,0,0,不通过
1891,孙文,男,23,18967471653,minyi0859@gmail.com,算法工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript,SQL,Go","精通,了解,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch","了解,精通",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,11,0,0,不通过
1892,汤秀英,女,22,13343480954,weiqian15@126.com,前端开发工程师,专科,普通高校,计算机类,英语四级,"Java,JavaScript","熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","掌握,熟练,熟练,精通,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,0,0,不通过
1893,刘军,男,23,15765964560,weiqiu@gmail.com,测试工程师,本科,211高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","精通,掌握,熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","熟练,精通",1―3年,NULL,NULL,7,0,0,通过
1894,郝磊,男,22,13601342484,xiulanyang023@outlook.com,数据分析师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","熟练,精通,熟练,精通,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,了解,精通,熟练",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,不通过
1895,董淑兰,女,21,13736717018,nahuang6@126.com,算法工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","精通,熟练,掌握,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch","掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1896,康秀荣,女,37,13394452532,mingqiao4873@hotmail.com,后端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,Go","熟练,熟练,掌握",NULL,NULL,"Spring Boot,Django/Flask","精通,掌握","MySQL,MongoDB","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,8,4,2,通过
1897,黄红霞,男,32,13177860381,junluo654@qq.com,算法工程师,本科,普通高校,计算机类,无,"Python,Java,SQL","熟练,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","精通,熟练,熟练",NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,1,9,1,通过
1898,陈建,男,30,13106285747,yanfu95@hotmail.com,运维工程师,本科,普通高校,计算机类,英语六级,"Python,JavaScript","精通,了解",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Ansible,Terraform","熟练,熟练,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,9,0,2,通过
1899,石勇,男,21,15963254293,minli5@outlook.com,后端开发工程师,专科,普通高校,计算机类,无,"Java,JavaScript","精通,了解",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js","熟练,精通,掌握,了解",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1900,金波,男,22,17832669955,yongtan499@126.com,后端开发工程师,本科,211高校,非计算机类,英语六级,"Python,Java,Go","了解,熟练,熟练",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","掌握,熟练,熟练,精通,熟练","MySQL,PostgreSQL","掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1901,陈红,女,22,18166302503,leiqiao86@hotmail.com,测试工程师,专科,普通高校,计算机类,英语四级,Python,精通,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter,Postman","掌握,熟练,熟练",1―3年,NULL,NULL,15,0,0,通过
1902,王桂英,女,22,18285878618,guiyingzou@163.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,SQL","掌握,精通",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,熟练",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1903,王帅,男,22,13062193359,xiulanzhao171@163.com,数据分析师,本科,普通高校,计算机类,英语六级,"Java,JavaScript,SQL,Go","掌握,熟练,精通,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","掌握,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1904,刘超,男,39,15674580335,qiangfu73@126.com,数据分析师,专科,普通高校,计算机类,英语四级,"Python,SQL","精通,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","熟练,熟练,熟练",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,了解,掌握",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,8,5,0,通过
1905,刘芳,女,38,13416673822,juanzeng30@163.com,前端开发工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript","掌握,掌握,熟练","HTML/CSS,React/Vue,Webpack,Redux/Vuex","掌握,熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,3―5年,1,3,2,通过
1906,蔡红霞,男,21,18898539923,yangpan7@126.com,移动开发工程师,专科,普通高校,非计算机类,英语四级,Java,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1907,张平,男,21,18944360082,chaobai7@qq.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java","精通,熟练",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js","熟练,熟练,掌握,熟练",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
1908,张丹,女,22,15311031597,pingjia@outlook.com,前端开发工程师,本科,211高校,非计算机类,英语六级,"Java,JavaScript","熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript","熟练,熟练,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1909,刘坤,男,21,18907272473,weiyang5231@126.com,测试工程师,专科,普通高校,计算机类,无,Python,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter,Postman","掌握,熟练,了解",NULL,NULL,NULL,0,0,0,不通过
1910,谭伟,男,23,13388394119,junluo1625@hotmail.com,测试工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,Go","精通,熟练,了解,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","熟练,掌握",1―3年,NULL,NULL,1,0,0,不通过
1911,张燕,女,21,17785512114,chaoxia997@qq.com,前端开发工程师,专科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,熟练,精通,了解,掌握","HTML/CSS,React/Vue","掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1912,王桂芝,女,22,13325430831,weichen409@yahoo.com,前端开发工程师,专科,普通高校,非计算机类,无,"Python,JavaScript","熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,掌握,熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,15,0,0,不通过
1913,姜秀珍,女,23,17664307061,jingzou@hotmail.com,前端开发工程师,本科,普通高校,非计算机类,英语六级,"Java,JavaScript","熟练,掌握","HTML/CSS,React/Vue,Redux/Vuex","精通,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,14,0,0,通过
1914,刘荣,女,21,18588861283,jiejiang8918@163.com,测试工程师,专科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,熟练,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","熟练,熟练",NULL,NULL,NULL,0,0,0,通过
1915,赵想,男,22,17766663010,yanxiong838@hotmail.com,全栈开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript","熟练,精通,精通","HTML/CSS,React/Vue","熟练,掌握","Spring Boot,Django/Flask,Node.js,Kafka/RabbitMQ","熟练,掌握,熟练,了解","MongoDB,Redis","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1916,伍晨,男,34,18602540290,chaodai@yahoo.com,算法工程师,专科,普通高校,非计算机类,无,"Java,JavaScript,SQL","精通,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,精通,掌握",NULL,NULL,NULL,NULL,5年以上,3―5年,3―5年,11,9,0,通过
1917,焦刚,男,25,18623515064,nagao033@qq.com,全栈开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript","了解,掌握,掌握","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","精通,精通,熟练,掌握,精通","Spring Boot,Django/Flask","熟练,精通",MySQL,精通,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,NULL,1―3年,1,7,0,通过
1918,周雷,男,23,13412526079,pingtao6@qq.com,测试工程师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL","熟练,熟练,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","精通,熟练,精通,精通",1―3年,NULL,NULL,9,0,0,通过
1919,王建,男,39,15602235134,taoyang@gmail.com,全栈开发工程师,本科,普通高校,计算机类,英语四级,"Python,JavaScript","掌握,熟练","HTML/CSS,React/Vue,Webpack,Redux/Vuex","熟练,熟练,熟练,熟练","Spring Boot,Django/Flask,Kafka/RabbitMQ","熟练,掌握,掌握","MySQL,Redis","精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,12,1,0,通过
1920,袁坤,男,22,17695017239,junyin@126.com,数据工程师,本科,普通高校,计算机类,英语六级,"Python,SQL","掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,熟练,熟练,掌握",NULL,NULL,Hadoop/Spark,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1921,徐杨,男,38,17767833261,yangcui6986@163.com,运维工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL","精通,掌握,了解,了解",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Ansible,Terraform","熟练,精通,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,3―5年,0,1,0,通过
1922,路娜,女,27,17711288734,xiuyinghou106@163.com,移动开发工程师,本科,211高校,计算机类,英语六级,"Python,Java,JavaScript,SQL","熟练,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","熟练,掌握,精通",NULL,NULL,5年以上,NULL,NULL,4,9,0,通过
1923,黎秀珍,女,21,18155633387,qianghao@outlook.com,算法工程师,专科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,掌握,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark","熟练,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1924,侯晨,男,25,18651607326,yongwu@qq.com,全栈开发工程师,专科,普通高校,非计算机类,无,"Java,JavaScript,Go","掌握,精通,熟练","HTML/CSS,React/Vue,Webpack","熟练,精通,熟练","Spring Boot,Django/Flask,RESTful API,Kafka/RabbitMQ","熟练,掌握,熟练,掌握","MySQL,PostgreSQL,Redis","精通,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,NULL,NULL,15,3,2,通过
1925,冯琴,女,23,18581373448,qiangpeng63@outlook.com,测试工程师,本科,普通高校,计算机类,英语四级,"Python,Java,SQL","掌握,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","掌握,掌握,熟练,了解",1―3年,NULL,NULL,0,0,0,不通过
1926,钟畅,女,21,13345792844,yonglai9397@gmail.com,数据分析师,专科,普通高校,非计算机类,无,"Python,Java,JavaScript,SQL,Go","掌握,熟练,掌握,精通,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","掌握,熟练,掌握,了解",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,精通,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1927,李燕,女,38,13682121427,taoma8173@qq.com,测试工程师,本科,普通高校,计算机类,无,"Java,SQL","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","掌握,掌握",5年以上,NULL,3―5年,14,3,2,不通过
1928,陈晶,女,39,18178320342,xiulancao156@outlook.com,后端开发工程师,硕士及以上,985高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","熟练,熟练,熟练,熟练,熟练",NULL,NULL,"Spring Boot,Django/Flask,Node.js","熟练,精通,掌握","MongoDB,Redis","掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,3―5年,15,3,1,通过
1929,曾东,男,24,18170974952,naluo@hotmail.com,数据工程师,本科,普通高校,计算机类,英语四级,"Python,SQL","精通,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","掌握,了解,熟练,熟练",NULL,NULL,"Pandas/Numpy,Hadoop/Spark","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,通过
1930,赵帆,男,23,15657000520,xiulanyang77@qq.com,后端开发工程师,本科,普通高校,非计算机类,英语六级,"Python,JavaScript,SQL","熟练,精通,掌握",NULL,NULL,"Spring Boot,Django/Flask","熟练,精通","MySQL,PostgreSQL,MongoDB,Redis","精通,精通,了解,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,5,0,0,通过
1931,赵玉英,女,23,15537672798,juanfu1695@gmail.com,运维工程师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,了解,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Terraform","掌握,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,3,0,0,不通过
1932,杨建,男,21,13180418784,junguo@hotmail.com,数据工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL","熟练,精通,熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,精通",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
1933,蒋雷,男,22,18332254945,juanzeng@qq.com,测试工程师,本科,普通高校,非计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","掌握,精通,熟练,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","掌握,熟练",NULL,NULL,NULL,0,0,0,不通过
